subject,Question,Option A,Option B,Option C,Option D,Answer,Year,Explaination
Literature In English,The subject matter of the novel is   .,totalitarian dictatorship,exploitation and cruelty,retributive justice,class segregation.,B,2010,
Literature In English,How did Winston start his rebellion  against the state   .,By engaging in anti-party activities,By keeping a private diary,When he started a secret affair,"When he spied on the party. 
20.The party seeks power for  
. 
A. the nation 
B. its own sake 
C. its members 
D. peoples' sake 
 
Questions 21 to 30 are based on 
selected poems from Ker, D. et al 
(eds.) New Poetry from African; 
Soyinka, (ed.) Poems of Black 
Africa; Senanu K.E. and Vincent T. 
(eds.): A selection of African Poetry; 
Umukoro, M et al (eds.) Exam Focus: 
literature in English; Eruvbetine, 
A.E. et al (eds.): Longman 
Examination Guides and Nwoga, D. 
I. (ed): West African Verse.",A,2010,
Literature In English,"As the dancers move through paths  strewn with glass chips, the images in  Adeoti's Naked Soles change from   .",joy to excitement,inaction to action,pain to grief,sorrow to joy.,D,2010,
Literature In English,"Rubadiris's An African Thunderstorm,  says that during thunderstorm in the  village",women cook their food,children play in the rain,children are delighted while women move in and out,"both women and children are 
delighted.",C,2010,
Literature In English,"'Yet in their finger upon  Our navel  The midwives of the spirit say  They feel a foetal throb.  Download MySchoolGist JAMB CBT Software from   https://www.myschoolgist.com/cbt/ www.myschoolgist.com 4    The dominant literary device used in  the extract above from Acquahs' In the  Navel of the Soul is A. epigram  B. allegory  C. enjambment  D. rhythm.  24. In Kunene's A heritage of  Liberation, the poet persona requests  that the weapons of warfare be handed  to their   .",friends,relations,grand children,families,C,2010,
Literature In English,The predominant device in Launko's End  of the War is   .,onomatopoeia,antithesis,oxymoron,paradox,D,2010,
Literature In English,The theme of the poem Give Me The  Minstrel's Seat centres on,divorce,fortune,marriage,companionship.,D,2010,
Literature In English,The poet persona in Marvell's To His  Coy Mistress is willing to praise the  lady's eyes for,thirty thousand years,six decades,two centuries,a century.,D,2010,
Literature In English,"In Lawrence's Bat, the poet persona  mistakes the bats for",owls,swallows,pipistrello,sparrows,A,2010,
Literature In English,"In Eliot's Journey of the Magi, the  magi are aided on their journey by",donkeys,horses,"camels D chariots.  30. According to Cope‟s Sonnet VII, poetry is basically  . A. boring B. therapeutic C. philosophical","inspiring 
 
Questions 31 to 40 are based on 
General Literary Principles.",C,2010,
Literature In English,A play which mainly aims at provoking  excessive laughter is called,tragi-comedy,comedy,a farce,D. satire.,C,2010,
Literature In English,Both comedy and tragedy have   .,happy ending,climax,tragic hero,stanza,B,2010,
Literature In English,A formal dignified speech or writing  praising a person or a thing for past or  present deeds is,premiere,eulogy,anthology,lampoon,B,2010,
Literature In English,The narrative style in which the hero  tells his own story directly is the .,objective,subjective,first- person,third-person.,C,2010,
Literature In English,"The physical, historical or cultural  background of a literary work is referred  to as",episode,plot,time,setting,D,2010,
Literature In English,A plot structure that defies chronology  can be described as,open-ended,circular,episodic,organic,D,2010,
Literature In English,Pun as a literary device deals with,placing two opposite phrases,"placing words side by side 
Download MySchoolGist JAMB CBT Software from 
 https://www.myschoolgist.com/cbt/
www.myschoolgist.com
5",playing on words,arrangement of words,C,2010,
Literature In English,"In a narrative poem, the poet attempts  to",summarize a story,describe a place,preach a sermon,tell a story,D,2010,
Literature In English,The account of experiences of an  individual during the course of a journey  is known as,a travelogue,an autobiography,a catalogue,a memoir,A,2010,
Literature In English,Satirical writing employs _.,epigram,synecdoche,irony,"onomatopoeia. 
 
Questions 41 to 50 are based 
on Literary Appreciation. 
Use the quotation below to answer 
questions 41 and 42.",C,2010,
Literature In English,„Basha: You dumb skull of a bone  head . . . you will face court martial  for this. You look everywhere? You  search inside toilet bowl? Wole  Soyinka: King Baabu  The person being addressed above is a,soldier,student,domestic servant,lawyer,A,2010,
Literature In English,"From the tone of the speech above, the  speaker is obviously",enraged,lackadaisical,elated,happy.,A,2010,
Literature In English,"'That year the harvest was sad, like a  funeral, and many farmers wept as they  dug up the miserable yams. One man  tied his cloth to a tree branch and  hanged himself'. Chinua Achebe:  Things Fall Apart  The mood conveyed in the excerpt  above is one of",sadness,frustration,sympathy,dilemma.,A,2010,
Literature In English,"'That age is best which is the first,  when youth and blood are warmer,  But being spent, the worse, and  worst  Time still succeed the former.  The rhyme scheme in the excerpt above  is",bbaa,aabb,abab,abba.,C,2010,
Literature In English,"But the towering earth was tired  sitting in one position. She moved,  suddenly, and the houses crumbled,  the mountains heaved horribly, and  the work of a million years was lost.  The subject matter of the extract above  is",storm,sea waves,house movement,earthquake.,D,2010,
Literature In English,"And your laughter like a flame  piercing the shadows Has revealed  Africa to me beyond the snow of  yesterday.  From the poem above, shadow means",famine,bleak future,period of sufferings,abstract ideas.,D,2010,
Literature In English,"Don't panic. Be calm, If you are  some how upset ...try to regain your  exposure.  The speaker in the excerpt above is",hopeless,uncertain,afraid,"confident. 
 
Use the lines below to answer 
questions 48 and 49. 
Download MySchoolGist JAMB CBT Software from 
 https://www.myschoolgist.com/cbt/
www.myschoolgist.com
6 
 
48.Move him into the sun Gently its 
touch awoke him once, At home, 
whispering of fields unsown Always 
it woke him even in France Until this 
morning and this snow If anything 
might rouse him now This kind old 
sun will know Think how it wakes 
the seeds Woke, once, the clays of a 
cold star Are limbs, so dear 
achieved, are sides Full nerved still 
swarm too hard to stir Was it, for 
this the clay grew tall? 0 what made 
fatuous sunbeams toil To break 
earth's sleep at all. 
The poem can be described as 
A. a lyric 
B. an epic 
C. a sonnet 
D. an elegy. 
49.The theme of the poem is 
A. futility of life 
B. distortion of life 
C. creation of life 
D. vanity of life",D,2010,
Literature In English,"A cursing rogue with a merry  farce,  A bundle of rags upon a crutch,  Stumbled upon that windy place  Called cruachan, and it was as much.  The rhyme scheme of the stanza above  is",aabb,abab,bbaa,"abba. 
Download MySchoolGist JAMB CBT Software from 
 https://www.myschoolgist.com/cbt/
www.myschoolgist.com
7 
 
ANSWER KEYS",B,2010,
Literature In English,Which Question Paper Type of  Literature-in- English is given to you?,Type A,Type B,Type C,"Type D 
 
Questions 2 to 5 are based on J. C De 
Graft’s Sons and Daughters.",D,2011,
Literature In English,"From it’s resolution of conflicts, the pay  can be described as",tragedy,comedy,farce,melodrama,B,2011,
Literature In English,The prevailing theme of the play is ----,love,affluence,social decadence,self-will,D,2011,
Literature In English,The final harassment of Maanan takes place in,Ofosu’s office,Lawyer B’s house,Lawyer B’s chamber,Ofosu’s house,D,2011,
Literature In English,"‘Everything in this room outrages my sense  of beauty, undermines my will to create  pictures of lasting appeal.  ’ The speaker in  the quotation  above is",happy,frustrated,excited,"tired 
 
Question 6 to 10 are based on 
William Shakespeare’s Romeo 
and Juliet.",B,2011,
Literature In English,"‘Farewell – God knows when we shall meet  again. I have a faint cold fear thrills  through my veins,  That almost freezes up the heat of lie. I’ll  call them back again to comfort me.  Nurse! – What  should she do here? My dismal scene I  need act alone. Come, vial’.  The intention of the speaker above is to",commit,suicide,take a temporary harmful substance,escape from harsh realities of life,B,2011,
Literature In English,The play reaches the point of denouncement,at the family feast,when Romeo kills Paris at the tomb,at the reconciliation of the feuding families.,when Romeo is informed of Juliet’s death,C,2011,
Literature In English,The news of Juliet's death is broken to  Romeo in Mantua by,Balthasar,Friar Lawrence,Boy,Friar John,A,2011,
Literature In English,"In the play, Mercutio can be described as",fraudulent,quarrelsome,gentle,kind-hearted,B,2011,
Literature In English,The plot of the play is,simple,complicated,convoluted,"chronological 
 
Questions 11 to 13 are based on 
Ferdinand Oyono's The Old Man and 
the Medal.",D,2011,
Literature In English,The heavy downpour on the night of  Meka's investiture symbolizes,revelation,mockery,conviction,blessing,B,2011,
Literature In English,Vandermayer's attitude and action towards  Meka illustrates the church's,despondency,"suspicion 
Download MySchoolGist JAMB CBT Software from 
 https://www.myschoolgist.com/cbt/
www.myschoolgist.com
9",infuriation,hypocrisy,D,2011,
Literature In English,"'As he opened and shut his mouth his  lower jaw went down and came up,  puffing up and then deflating the skin  under his chin.'  The subject of description in the lines above is",the high commissioner,M. Pipiniakis,the white chief,"M. Fouconi 
 
Questions 14 to 16 are based on 
Buchi Emecheta's The Joy of 
Motherhood.",D,2011,
Literature In English,"For attempted murder, Nnaife was jailed for",four months,three months,five months,two months,A,2011,
Literature In English,"In the novel, Nwokocha Agbadi is famous  for his oratorical powers and",height,treachery,illiteracy,wealth,D,2011,
Literature In English,"In the novel, the handing over of a baby boy  in a dream to Nnu Ego by her personal god  signifies A. reincarnation  B. future blessing  C.  idol worship  D. doom    Questions 17 to 20 are based on George  Orwell's Nineteen Eighty-Four  17. The novel draws a picture of",a useless past,a totalitarian future,an unstable moment,a peaceful atmosphere,,2011,
Literature In English,The power and oppression of an irresistible  evil debased Winston's dreams of .,freedom and democracy,"internal security 
Download MySchoolGist JAMB CBT Software from 
 https://www.myschoolgist.com/cbt/
www.myschoolgist.com
10",wealth and capitalism,sovereignty,A,2011,
Literature In English,Room 101 symbolizes a place of,rest,fun,humiliation,tour,A,2011,
Literature In English,The novel can be described as,optimistic,antagonistic,persuasive,"pessimistic 
 
Question 21 to 30 are New Poetry based 
on selected poems Ker, D. e t al (eds.) 
Bew Poetry from Africa; Soyinka, (ed.): 
Poems of Black Africa; Senanu K. E and 
Vincent, T. (eds.): A Selection of African 
Poerty; Unukoro, Met al (eds.): Exam 
Focus: Literature in English; Eruvbetine, 
A.E. et al(eds.): Longman Examination 
Guides and Nwoga, D.I (ed): West 
African Verse.",D,2011,
Literature In English,"In Naked Soles, Adeoti writes that the  carnival of naked soles dances through",scorching sun,a dirty room,blooming thorns,a cloudy atmosphere,A,2011,
Literature In English,"In Rubadiri's An African Thunderstorm,  the thunderstorm begins with",rain from the west,clouds from the east,rain from the east,clouds from the west,C,2011,
Literature In English,The theme of Acquah's In the Navel of the Soul is,the conflict of traditions,ensuring that traditions were strictly observed,the futility of man and his tradition,"the strength in diversity of 
culture and traditional views. 
Download MySchoolGist JAMB CBT Software from 
 https://www.myschoolgist.com/cbt/
www.myschoolgist.com
11",D,2011,
Literature In English,"In Kuene’s A Heritage of Liberation, the  persona is concerned with the",people's struggle for survival,criticism of modern tradition,intolerance of the new generation,"celebration of African 
tradition. E.",D,2011,
Literature In English,Lanko’s End of the War portrays the,silence of,usefulness of praise singers,irony of life,arrangement of war,D,2011,
Literature In English,"'Woman cannot exist except by man, What is  there in that to vex some of them so?' The  statement above from the poem Give Me The  Minstrel's Seat exemplifies",litotes,rhetorical question,transferred epithet,synecdoche,C,2011,
Literature In English,"Marvell, in To His Co Mistress uses the  imagery of Coy death to",appreciate God's power,underscore life's transience,condemn the lady,scare the lady,B,2011,
Literature In English,"To sustain the interest of readers, Lawrence in Bat  uses",elision,hyperbole,suspense,oxymoron,B,2011,
Literature In English,"'With a running stream and a water-mill  beating the darkness. And three trees on the  low sky.' • In the excerpt above from Eliot's  Journey on the Magi, the dominant literary  device is",oxymoron,personification,hyperbole,alliteration,C,2011,
Literature In English,The tone of Cope's Sonnet VII is generally  Download MySchoolGist JAMB CBT Software from   https://www.myschoolgist.com/cbt/ www.myschoolgist.com 12,persuasive,humorous,optimistic,"mournful 
 
Questions 31 to 40 are based on 
General Literary Principles.",B,2011,
Literature In English,The large space above the proscenium in a  theatre from which the scenes are  controlled is called,aside,setting,anachronism,flies,B,2011,
Literature In English,"'Good warriors make others come to them  and do not go to others  When you  induce opponents to  come to you, then their force is always  empty, like attacking emptiness with  fullness is throwing on eggs.' Zhang Yu:  The Art of War.  The theme of the passage above is",folly of soldiers,inspiration,spurring people to action,war,D,2011,
Literature In English,The repetition of single words or  phrases at the beginning of lines is,assonance,parallelism,onomatopoeia,alliteration,B,2011,
Literature In English,A ballad is meant to be,acted,sung,discussed,read,B,2011,
Literature In English,"In drama, dramaturge is he who",writes or edits plays,feature in a play,directs a play,acts a film.,A,2011,
Literature In English,Travelogue is a work of art written,by a famous playwright Download MySchoolGist JAMB CBT Software from  https://www.myschoolgist.com/cbt/www.myschoolgist.com13,before the death of the author,by an unpopular novelist,on a journey,D,2011,
Literature In English,Plays are basically meant to,change the world,keep people out of trouble,be ready for pleasure,be presented on stage,D,2011,
Literature In English,A character who re-enacts familiar  experiences that Leaders easily identify  with is,round character,flat character,stock character,static character,A,2011,
Literature In English,The plot of a story generally refers to the,intrigue made by a character against the hero,way the writer ends the story,way in which the events of the story are organised,way in which the writer begins the story,C,2011,
Literature In English,The metric pattern in a line of poetry  with five stressed and five unstressed  syllables is,trochaic decametre,dactylic metre,iambic pentameter,"anapaestic metre 
 
Question 41 to 50 are based on 
literary Appreciation.",C,2011,
Literature In English,"Theseus: Now, fairHippolyta, our nuptial hour.  Draws on space four happy days bring  in. Another moon. But 0, me thinks  how slow This old moon wanes, she  lingers my desires, Like to a step-dame  or a dowager,  Long withering out a young man's revenue.  William Shakespear. A midsummer Night's  Dream The literary devices used in the excerpt  above are",personification and smile,irony and suspense,alliteration and synecdoche,rhyme and refrain.,A,2011,
Literature In English,"'You are the silent code of pleasure locked  in wordless wonder. You are the hive of  treasure, no  Download MySchoolGist JAMB CBT Software from   https://www.myschoolgist.com/cbt/ www.myschoolgist.com 14    dragon can plunder' Gbemisola Adeoti  :Dream Code.  The excerpt above achieves its  rhetorical effect through the use of",repetition and meiosis,metaphor and rhyme,caesura and hyperbole,alliteration and irony,C,2011,
Literature In English,"It was not yet closing time, but already  most staff were trooping out of their  offices. The lift was working now and he  squeezed himself into it, breathing with  difficulty the body odour emitted by one  of the passengers. He sighed with relief  when they got to the ground floor and  tumbled out of the lift.'  Ken Saro-Wiwa: A Forest of Flowers  In the excerpt above, the subject's  experience in the lift is",timely.,comfortable.,unpleasant,amusing,C,2011,
Literature In English,"'Do not thank me, instead, let me ask  you one question, Now you have all  come here sprawling vomiting, rubbing  tears on one another begging me to do  my duty and help you. But what about  you yourselves? What have you done to  help yourselves? Answer. Or is the land  at peace? Are not people ailing and  dying?'  OIa Rotimi: The Gods Are Not To Blame  In the excerpt above, the land is  not at peace because of",chieftaincy tussle,famine and war,political unrest,sickness and death,D,2011,
Literature In English,"‘In those days. When civilization kicked  us in the face, when holy water slapped  brows. The vultures built in the shadow  of their talons.' David Diop: The Vulture  The dominant literary device used in  the lines above is",pun,metaphor,personification Download MySchoolGist JAMB CBT Software from  https://www.myschoolgist.com/cbt/www.myschoolgist.com15,simile,C,2011,
Literature In English,"I am not afraid of anything; he told them. I  have done almost everything in this  world. I have you can think of an been  committed all c y jailed for most of them.  I have been in prison more hours than I  have been out of it within the last five  years.  In recounting his criminal life, the speaker's  tone is",regretful,boastful,subdued,repentant,B,2011,
Literature In English,"'I have said too much unto a heart of stone,  And laid my honour too unchary on it',  There's something in me that reproves my  fault,. But such a headstrong potent fault it  is That it but mocks reproof.' William  Shakespeare: Twelfth Night  A heart of stone in the lines above is an  example of",metonymy,litotes,assonance,metaphor,D,2011,
Literature In English,"'Blood was prove no solace to the king. The  rejection he had suffered at Idama's hands  pushed his spirit into a comfortless hole in  which, alone with himself, he searched in  vain for ways to run from his inner  emptiness.' Ayi Kwei Armah:  Two Thousand Seasons  The narrator’s attitude to the king is one of",envy,sympathy,suspicion,contempt,D,2011,
Literature In English,'Homage to Peregede the triumphant  mother of morning radiant in  Chameleon's velvet. Let today's dawn  bring on its rails trains of good tidings.'  Gbemisola Adeoti: Salutation to the gods  The excerpt above is an example of,invocation,limerick,ode,elegy,A,2011,
Literature In English,"The wood decay, the woods decay and  fall, The vapour weep their burthen to the  ground, Man comes and fills the field and  lies beneath, And after many a summer  dies the swan. The subject matter of the  lines above is",death,rainfall,famine,"storm 
Download MySchoolGist JAMB CBT Software from 
 https://www.myschoolgist.com/cbt/
www.myschoolgist.com
16 
 
ANSWER 
KEYS",A,2011,
Literature In English,Which Question Paper Type of  Literature-in- English as indicated above  is given to you?,Type Green,Type Purple,Type Red,"Type Yellow 
Question 2 to 5 are based on J.C. De 
Graft's Sons and Daughters.",B,2012,
Literature In English,Who is the paternal aunt to Aaron and  Maanan?,Mrs Bonu,Hannah,Fosuwa,Adwao,C,2012,
Literature In English,"From the play, George is a",laboratory assistant,pharmacist,nurse,"medical doctor 
 
Use the quotation below to answer questions 
1 and",A,2012,
Literature In English,"‘If you touch me, I shall smash your  face with this bottle.’    4. ""If you touch me, I shall smash your face with  this bottle""  The statement is made by",Manaan to lawyer B,Manaan to Mrs Bonu,James to Awere,Awere to Aaron,B,2012,
Literature In English,The issue at stake is that,Maanan is trying to compromise,Lawyer B is trying to kiss Maanan,James sees Awere as a bad influence,"Mrs Bonu is taunting Maanan for loving 
her husband 
 
Questions 6 to 10 are based on 
William Shakespeare’s Romeo 
and Juliet",B,2012,
Literature In English,"""From forth the fatal loins of these two  foes A pair of star-crossed lovers take  their life...""  The lines above suggest that the tragedy in the play  Download MySchoolGist JAMB CBT Software from   https://www.myschoolgist.com/cbt/ www.myschoolgist.com 18",could have been averted,is predestined,is brought on enmity,brought misfortune on the lovers,C,2012,
Literature In English,"O she doth teach the torches to  burn bright! It seems she hangs  upon the cheek of night  A rich jewel in an Ethiop's ear.""  From the lines above, Juliet's beauty is  presented",in contrast to the dark night,as a source of envy to all,in terms of riches,as being outstanding,A,2012,
Literature In English,"""The all-seeing sun, Ne'er saw match  since first the world begun.""  The lines above were spoken by",Count Paris in praise of Juliet,Romeo in praise of Juliet,Romeo in praise of Roseline,Lady Capulet in praise of Roseline,B,2012,
Literature In English,The major role of Mercutio in the play is to,serve as a contrast to Romeo,aid and abet Romeo's passion,annoy Tybalt,accompany Romeo to Friar Lawrence,D,2012,
Literature In English,The play shares the feature of  classical tragedy through the  use of,violence on stage,chorus,comic relief,"flashback 
 
Questions 11 to 13 are based on 
Ferdinand Oyono’s The Old Man 
and the Medal.",D,2012,
Literature In English,"""Meka, kneeling down in his usual  fashion with his behind up in the air.  Kelara knelt down beside him. Amalia  and her husband knelt down as well.""  The actions of Meka, Kelara,  Amalia and her husband signify",parade,dance,prayer,"celebration 
Download MySchoolGist JAMB CBT Software from 
 https://www.myschoolgist.com/cbt/
www.myschoolgist.com
19",A,2012,
Literature In English,"""He had knocked his toes against so many  things that he had no toenails anymore and  the yaws he had suffered from his youth had  twisted his toes up so that they pointed to  the sky""    The description above is in reference to the foot  of",Kelara,Meka,Egamba,Mvondo,B,2012,
Literature In English,"""They said their prayers in a monotonous  sing-song, kneeling on their bamboo bed like  camels waiting to be loaded.""  The dominant figure of speech in the excerpt above  is",rhetorical question,simile,metaphor,"mixed metaphor 
 
Questions 14 to 16 are based on Buchi 
Emecheta’s 
The joy of Motherhood.",B,2012,
Literature In English,"As a symbol of material success and fulfilment,  Ibuzza community places a lot of importance on",childbirth,wealth,male child,female child,B,2012,
Literature In English,Ona on her dying bed appeals to Agbadi to,give her a befitting burial,take good care of her children,take another wife,allow Nnu Ego marry a man of her choice,C,2012,
Literature In English,The little money Nnaife makes after returning  from Fernando PO is used for,expanding Nnu Ego's business,taking care of his family,sending his children to school,"getting more wives 
 
Questions 14 to 16 are based on George 
Orwell’s Nineteen Eighty-Four.",A,2012,
Literature In English,The novel is mainly classified as a,metaphor,hyperbole,satire,fiction,A,2012,
Literature In English,Winston writes that the hope of the country lies  on the,ministry of the truth,proles,party,children,A,2012,
Literature In English,"In the novel, two minutes hate  is a programme designed for",parents,thought police,the community,children,D,2012,
Literature In English,"To drop his philosophy of life and imbibe  the tenets of the party, Winston is  subjected to all forms of torture and  inhuman treatment by",O'Brien,thought police,Big Brother,"Goldstein 
 
Questions 21 to 30 are based on selected 
poems from Johnson, R, et al (eds.): New 
Poetry from Africa; Soyinka, W. (ED.): 
Poems of Black Africa; Senanu, K.E. and 
Vincent, T. (eds.): A Selection of African 
Poetry: U. Maduka, C.T et al: Exam Focus: 
Longman Examination Guides; Nwoga, D.I. 
(ed.): West African Verse and Adeoti G: 
Naked Soles.",A,2012,
Literature In English,The movement in Adeoti's Naked  Soles is characterized by,hope and agreement,freedom and self-determination,pricks and tears,disappointed and disarray,C,2012,
Literature In English,One of the dominant themes if Rubadin's  An African Thunderstorm is the,relationship between man and woman,activities of man during rainy seasons,effect of rain on women and children,problem of climate change,B,2012,
Literature In English,"In Kunene's A Heritage of Liberation, the  weapons are to be preserved for the generation  yet unborn by the",gods,elders,people Download MySchoolGist JAMB CBT Software from  https://www.myschoolgist.com/cbt/www.myschoolgist.com20,government,A,2012,
Literature In English,Give Me The Minstrel's Seat ends on a clarion  call for,freedom,peace,rectitude,commitment,A,2012,
Literature In English,"""...the youthful hue/sits on thy skin  like a morning dew...""  The excerpt above from Marvell's To His  Coy Mistress is an example of",simile,anaphora,paradox,onomatopia,B,2012,
Literature In English,"In Lawrence's Bat, the poet compares bats with",sparrows,swans,swallows,crows,A,2012,
Literature In English,Elliot's The Journey of the Magi could  be said to examine the issues of,three trees on the low sky,empty wine-skins,spiritual rebirth,holy pilgrimage,A,2012,
Literature In English,"""We would be believing we dreamt it""  The figure of speech in the line above from  Acquah's In the Navel of the Soul is",apostrophe,assonance,antithesis,alliteration,B,2012,
Literature In English,The casualties in Launko's End of the War,women,children,men,soldiers,C,2012,
Literature In English,The theme of Cope's Sonnet VII is,art of poetry,adventure,contempt for literature,"isolation 
Questions 31 to 40 are based on 
general Literary Principles.",A,2012,
Literature In English,A literary work in which the characters and  events are used as symbols is known as,characterization,allegory,metaphor,parallelism,A,2012,
Literature In English,Characterization in a novel refers to the,writer's opinion of the characters,way the characters are revealed to the reader,characters and the way they behave,reader's opinion of the characters,B,2012,
Literature In English,"In literary work, verbal irony refers to a",device in which the speaker means the opposite of what he says,"situation in which a character 
speaks or acts against the trend of 
events",difficult situation which defies a logical or rational resolution,"device in which the actor on stage 
means exactly what he says",C,2012,
Literature In English,"In the theater, words spoken by a character that  are meant to be heard by the audience but not  by the other characters on stage is called",aside,soliloquy,acoustic,tone,D,2012,
Literature In English,Drama is the representation of a complete  series of actions by means of,movement and gesture for the screen and audience,"speech, movement and gesture for the stage only","speech, movement and gesture for the stage, screen and radio","speech, gesture and movement for the 
screen and radio",D,2012,
Literature In English,A poet's use of regular rhythm is known as,allegory,assonance,metre,onomatopoeia,B,2012,
Literature In English,A literary genre which directly imitates  human action is,drama Download MySchoolGist JAMB CBT Software from  https://www.myschoolgist.com/cbt/www.myschoolgist.com21,comedy,prose,poetry,A,2012,
Literature In English,A fable is a story in which,allegations are made about characters,animals or things are used as characters,there is an important setting,the story is told in poetic form,C,2012,
Literature In English,The juxtaposition of two contrasting ideas in a  line of poetry is,euphemism,synedoche,catharsis,oxymoron,A,2012,
Literature In English,The main aim of caricature is to,describe,expose,emphasize,"ridicule 
 
Questions 41 to 50 are based on 
Literary Appreciation",B,2012,
Literature In English,"O! Ceremony, show me but thy worth  What is thy soul of adoration  The figure of speech in the lines above is",antithesis,invocation,personification,apostrophe,B,2012,
Literature In English,"""What eyes will watch our large mouths,  Shaped by the laughter of big children  What eyes will watch our large mouths?""  Birage Diop:Vanity  The tone of the lines above is one of",sarcasm,sacrilege,chiasmus,eulogy,B,2012,
Literature In English,The old man slept in his favourite  chair The wind ran its fingers  through his hair He looked like a  tree gone dry of sap And his hands  were dry upon his lap The rhyme a  scheme of the poem above is,bbaa,aabb,abab,baba,B,2012,
Literature In English,"Unequal laws unto a savage race, That  board, and sleep, and feed....  The lines above show that the speaker",detects discrimination,is desirous of adventure,hates his old wife,"knows much of his city men 
 
45 How can I look at Oyo and say I hate long shiny 
cars? How can I come to the children and 
despise 
international 
schools? 
And 
Koomson comes, and the family sees 
Jesus Christ in him.... 
The feeling conveyed by the speaker above is one 
of 
A. anger 
B. alienation 
C. hope 
D. despair",C,2012,
Literature In English,"""Hide me now, when night children  haunt the earth"" Wole Soyinka:Night  Night children in the stanza above reflects  the consciousness of",birds,armed robbers,animals,spirit beings,A,2012,
Literature In English,"""Serrated shadows, through dark leaves, Til,  bathed in warm suffusion of your  dapped cells Sensation pained me,  faceless, silent as night thieves.""  Wole Soyinka: Night  The dominant mood in the lines above is one of",apprehension,defiance,joy,indifference,D,2012,
Literature In English,"""The drums overwhelmed the guns  "" J.P  Clark:  Casualties  The poet in the excerpt above uses",litotes,symbolism,onomatopoeia,alliteration,A,2012,
Literature In English,‘. They do not see the funeral piles  At home eating up the forests  ’  Download MySchoolGist JAMB CBT Software from   https://www.myschoolgist.com/cbt/ www.myschoolgist.com 22    J.P. Clark:Casualties  The imagery created in the above excerpt is  achieved  through,metaphor,personification,synecdoche,metonym,A,2012,
Literature In English,"""I cannot rest from travel: I will drink  Life to the lees, all times I have enjoyed  Greatly, have suffered greatly""",L. Tennyson: Ulysses The lines above inform the reader that the poet A. is determined to suffer,has his poetic imagination kindled,will cure his sour mood,"will not drink much 
Download MySchoolGist JAMB CBT Software from 
 https://www.myschoolgist.com/cbt/
www.myschoolgist.com
23 
 
ANSWER 
KEYS",D,2012,
